591,390,401
134,563,562
966,243,257
763,940,731
144,946,500
648,620,426
654,887,654
620,334,827
395,727,112
893,268,981
241,680,715
622,969,791
258,151,315
215,930,810
550,203,384
219,335,130
222,416,327
409,846,404
440,939,766
218,716,524
449,870,884
983,731,815
443,803,401
237,116,455
437,954,489
224,847,237
221,493,848
643,988,104
337,363,135
758,901,329
310,744,435
770,880,259
355,933,189
164,373,973
942,725,862
673,669,164
145,693,225
679,520,993
138,366,422
500,982,915
757,740,530
138,195,665
595,682,975
738,416,599
979,792,314
815,132,847
604,744,946
668,935,971
587,666,955
632,480,925
274,271,396
378,811,367
583,744,462
214,358,893
502,250,421
183,522,443
531,284,190
139,914,930
101,882,795
745,458,482
889,304,543
336,752,727
664,800,765
938,488,358
204,950,891
726,316,572
546,362,399
623,281,276
675,861,852
463,625,712
585,391,238
867,607,427
884,643,623
498,700,541
796,235,443
880,130,437
529,566,378
289,485,628
578,718,462
590,277,362
535,700,894
789,167,365
938,581,788
366,768,106
122,383,316
146,378,971
159,892,626
295,953,925
171,529,648
621,352,708
708,251,453
551,159,680
750,216,865
274,841,301
1000,701,400
927,188,465
229,192,575
719,891,541
352,548,197
716,649,669
789,613,666
754,877,682
132,114,194
329,383,604
861,296,921
724,475,551
212,331,697
728,770,950
849,917,767
648,552,594
898,765,688
241,340,105
579,920,420
523,715,538
732,125,967
873,947,576
970,117,234
514,545,443
407,870,105
837,210,586
562,433,756
757,603,366
905,850,791
587,448,813
508,238,867
948,866,295
135,205,928
120,654,964
743,280,520
548,584,941
459,171,777
596,825,618
785,612,159
456,982,455
597,310,461
923,869,517
913,968,839
898,764,210
878,394,716
209,168,918
587,747,149
134,945,961
506,444,986
507,728,294
460,762,597
765,406,160
635,320,179
981,367,783
332,894,666
747,691,461
457,435,755
753,457,506
920,568,958
719,984,808
350,710,615
577,781,734
646,152,137
668,456,264
878,108,876
874,217,909
626,846,530
858,935,765
719,263,766
980,626,122
665,684,491
198,935,782
276,906,166
964,495,163
155,307,165
257,782,977
573,863,608
125,828,990
279,321,921
638,455,154
906,991,768
616,856,529
791,797,480
756,662,620
499,790,211
126,873,537
697,828,446
187,897,201
105,417,265
200,619,586
242,976,545
197,955,194
434,838,130
421,842,428
625,411,347
327,675,580
465,211,564
213,931,971
928,736,901
508,260,477
268,972,960
730,398,453
890,235,409
360,218,538
601,903,879
735,421,257
808,307,168
866,415,227
394,934,830
261,784,119
660,506,447
561,126,575
943,337,400
923,461,660
159,677,980
197,278,907
578,353,423
670,362,614
536,768,195
738,422,416
177,199,354
726,331,651
593,625,312
598,523,138
299,269,258
953,216,325
148,751,370
846,471,958
673,726,450
551,351,119
919,918,934
559,642,409
288,545,714
921,355,950
332,134,918
265,872,348
627,958,151
499,357,633
641,161,492
625,130,907
472,756,652
527,847,124
998,433,421
832,632,186
653,253,883
500,403,742
202,492,115
481,627,860
631,997,498
950,879,212
552,341,444
611,998,646
231,745,208
212,937,313
346,545,563
801,279,801
570,654,948
257,129,340
731,134,667
759,310,795
755,788,943
337,761,352
402,181,267
729,595,634
621,334,965
