293,859,270
760,846,376
974,780,900
442,926,491
865,910,656
663,849,504
263,424,787
415,395,868
764,809,560
453,401,782
378,412,573
370,318,353
442,567,927
331,409,917
390,585,638
529,930,682
193,382,445
663,587,570
969,277,781
549,613,816
544,253,834
610,439,451
865,400,790
401,737,816
103,505,582
213,551,560
964,696,995
429,773,290
475,923,492
673,169,438
512,225,924
520,542,226
896,787,631
234,169,557
186,987,597
649,706,336
425,841,240
447,766,136
465,465,381
621,656,756
850,737,839
462,352,654
902,377,143
275,808,885
112,966,781
610,664,523
921,767,654
475,208,498
942,779,832
817,208,823
730,600,145
255,659,896
850,211,262
320,796,217
166,418,277
687,352,664
379,386,822
818,364,421
818,350,331
842,549,466
687,851,844
368,743,867
243,854,146
742,123,471
580,326,764
133,918,902
306,440,748
945,282,514
806,387,489
299,612,730
166,104,998
328,863,339
629,701,149
975,380,816
404,682,758
428,468,412
708,534,746
983,151,690
290,652,949
684,551,568
743,454,381
970,777,313
547,720,620
557,165,157
965,857,342
973,735,906
858,922,170
455,669,366
348,327,470
148,167,649
146,125,431
892,903,790
443,201,243
580,286,301
415,947,639
902,115,180
162,915,790
529,864,406
181,820,611
278,687,992
948,713,373
